                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6442,                 2.4405,                 1.8416,                0.41236,                0.22989,                0.25911,                 0.1355,                 1.9346,                 2.7298,                 2.2146,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6299,                 2.4019,                 1.8568,                0.50546,                0.33333,                0.27405,                0.12313,                 1.8235,                 2.5205,                 2.1495,               0.001307,               0.001307,               0.001307
                     37,                 1.6002,                 2.3833,                 1.8277,                0.59479,                0.32059,                 0.3388,                0.16327,                 1.8752,                 2.5431,                 2.2899,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.6041,                 2.3851,                 1.8252,                0.47783,                0.29885,                0.25144,                0.12667,                  1.934,                 2.6573,                 2.3168,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5824,                 2.3741,                 1.8112,                0.59824,                0.29102,                0.28814,                0.13637,                 1.8889,                 2.5585,                 2.2552,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.6022,                 2.3475,                 1.8275,                0.41685,                0.32046,                0.28331,                0.12812,                 1.8692,                 2.6803,                 2.2401,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5648,                 2.3458,                 1.8118,                0.64985,                0.24138,                 0.2679,                0.10267,                 1.9271,                 2.6981,                 2.2239,               0.001208,               0.001208,               0.001208
                     42,                  1.598,                 2.3356,                 1.8137,                0.52991,                0.33333,                0.31539,                0.14042,                 1.8902,                 2.4831,                 2.1938,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5676,                 2.3172,                 1.8078,                0.60259,                0.25287,                0.27536,                0.12001,                 1.9093,                 2.6987,                 2.2611,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5461,                 2.3157,                  1.788,                 0.4401,                0.36782,                0.28294,                0.10871,                 2.0044,                 2.8471,                 2.2768,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.5626,                 2.2598,                 1.7797,                0.45107,                 0.2069,                0.21183,                 0.0961,                 2.0318,                 2.8206,                 2.3255,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.5655,                 2.2753,                 1.7914,                0.52596,                0.24138,                0.22926,                0.09413,                 1.8519,                 2.6012,                 2.1868,               0.001109,               0.001109,               0.001109
                     47,                 1.5693,                 2.3216,                 1.8005,                0.45486,                0.29885,                0.27446,                 0.1185,                 1.8929,                 2.6503,                 2.2318,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5304,                 2.2703,                 1.7593,                0.55892,                0.24138,                0.27062,                0.11095,                  1.938,                 2.6282,                 2.2118,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.5346,                 2.2903,                 1.7844,                0.58546,                0.32184,                0.28738,                0.14088,                 1.8096,                 2.5684,                 2.2141,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.524,                 2.2426,                 1.7615,                0.54879,                0.28736,                 0.3238,                0.14606,                 1.8737,                 2.4216,                 2.2056,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.5055,                  2.228,                 1.7518,                0.69273,                0.26437,                0.30294,                0.13266,                 1.9179,                 2.5979,                 2.2712,                0.00101,                0.00101,                0.00101
                     52,                  1.547,                 2.1855,                 1.7717,                0.45248,                0.34483,                0.32628,                0.13622,                 1.9283,                 2.6597,                 2.2556,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.5423,                 2.2241,                 1.7605,                0.65952,                0.26437,                0.30092,                0.13185,                 1.9046,                 2.5802,                 2.1756,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.5055,                 2.1894,                 1.7538,                0.58871,                0.27976,                0.29578,                0.12262,                 1.9167,                 2.5488,                  2.299,              0.0009506,              0.0009506,              0.0009506
